node,core_number,in_backbone
9606.ENSP00000384851,13,False
9606.ENSP00000362748,13,False
9606.ENSP00000386869,7,False
9606.ENSP00000297316,14,False
9606.ENSP00000435712,17,False
9606.ENSP00000388620,22,False
9606.ENSP00000269216,10,False
9606.ENSP00000373783,5,False
9606.ENSP00000482581,8,False
9606.ENSP00000292431,4,False
9606.ENSP00000297785,10,False
9606.ENSP00000329991,25,False
9606.ENSP00000369554,37,True
9606.ENSP00000353874,37,True
9606.ENSP00000357470,36,False
9606.ENSP00000411940,30,False
9606.ENSP00000371067,37,True
9606.ENSP00000432511,37,True
9606.ENSP00000409346,15,False
9606.ENSP00000357459,15,False
9606.ENSP00000412897,26,False
9606.ENSP00000329967,30,False
9606.ENSP00000433847,20,False
9606.ENSP00000360120,7,False
9606.ENSP00000434034,16,False
9606.ENSP00000373952,27,False
9606.ENSP00000310356,20,False
9606.ENSP00000330875,20,False
9606.ENSP00000352271,26,False
9606.ENSP00000367910,23,False
9606.ENSP00000385021,22,False
9606.ENSP00000498215,19,False
9606.ENSP00000228843,29,False
9606.ENSP00000261584,32,False
9606.ENSP00000298048,34,False
9606.ENSP00000260731,34,False
9606.ENSP00000244040,1,False
9606.ENSP00000358813,34,False
9606.ENSP00000363524,34,False
9606.ENSP00000378356,34,False
9606.ENSP00000428489,34,False
9606.ENSP00000342307,34,False
9606.ENSP00000301633,34,False
9606.ENSP00000358918,14,False
9606.ENSP00000390436,16,False
9606.ENSP00000249373,12,False
9606.ENSP00000332353,11,False
9606.ENSP00000295731,14,False
9606.ENSP00000408695,33,False
9606.ENSP00000261798,17,False
9606.ENSP00000463027,6,False
9606.ENSP00000448083,4,False
9606.ENSP00000377836,15,False
9606.ENSP00000441765,8,False
9606.ENSP00000396198,33,False
9606.ENSP00000368104,26,False
9606.ENSP00000321797,37,True
9606.ENSP00000328181,15,False
9606.ENSP00000322804,4,False
9606.ENSP00000228682,21,False
9606.ENSP00000264414,22,False
9606.ENSP00000263754,34,False
9606.ENSP00000229307,32,False
9606.ENSP00000290341,17,False
9606.ENSP00000281043,24,False
9606.ENSP00000358548,37,True
9606.ENSP00000364270,32,False
9606.ENSP00000368686,28,False
9606.ENSP00000355249,23,False
9606.ENSP00000429089,28,False
9606.ENSP00000398124,23,False
9606.ENSP00000386896,26,False
9606.ENSP00000379472,23,False
9606.ENSP00000418754,10,False
9606.ENSP00000417132,14,False
9606.ENSP00000384371,32,False
9606.ENSP00000245960,23,False
9606.ENSP00000255465,32,False
9606.ENSP00000256442,34,False
9606.ENSP00000340989,26,False
9606.ENSP00000355922,34,False
9606.ENSP00000254066,30,False
9606.ENSP00000366915,15,False
9606.ENSP00000286548,31,False
9606.ENSP00000264606,32,False
9606.ENSP00000329357,33,False
9606.ENSP00000264709,31,False
9606.ENSP00000264972,31,False
9606.ENSP00000289902,29,False
9606.ENSP00000374125,3,False
9606.ENSP00000286301,37,True
9606.ENSP00000478763,22,False
9606.ENSP00000365402,19,False
9606.ENSP00000351059,37,True
9606.ENSP00000271450,30,False
9606.ENSP00000296140,37,True
9606.ENSP00000381775,26,False
9606.ENSP00000358165,31,False
9606.ENSP00000227163,28,False
9606.ENSP00000245414,33,False
9606.ENSP00000241453,37,True
9606.ENSP00000389377,26,False
9606.ENSP00000230354,32,False
9606.ENSP00000295025,27,False
9606.ENSP00000300134,36,False
9606.ENSP00000296871,37,True
9606.ENSP00000327513,37,True
9606.ENSP00000254810,34,False
9606.ENSP00000260010,37,True
9606.ENSP00000251968,17,False
9606.ENSP00000273047,15,False
9606.ENSP00000261890,12,False
9606.ENSP00000380421,12,False
9606.ENSP00000339477,20,False
9606.ENSP00000359663,37,True
9606.ENSP00000368538,25,False
9606.ENSP00000325074,20,False
9606.ENSP00000358997,30,False
9606.ENSP00000497759,7,False
9606.ENSP00000474412,37,True
9606.ENSP00000480467,20,False
9606.ENSP00000484479,26,False
9606.ENSP00000474725,29,False
9606.ENSP00000264716,10,False
9606.ENSP00000497402,11,False
9606.ENSP00000369571,26,False
9606.ENSP00000369574,26,False
9606.ENSP00000369564,26,False
9606.ENSP00000369566,26,False
9606.ENSP00000239347,26,False
9606.ENSP00000363318,36,False
9606.ENSP00000327890,36,False
9606.ENSP00000369293,37,True
9606.ENSP00000306157,37,True
9606.ENSP00000369558,23,False
9606.ENSP00000369553,22,False
9606.ENSP00000320935,17,False
9606.ENSP00000356162,4,False
9606.ENSP00000416606,7,False
9606.ENSP00000480012,11,False
9606.ENSP00000384708,7,False
9606.ENSP00000226413,7,False
9606.ENSP00000276414,12,False
9606.ENSP00000226299,3,False
9606.ENSP00000308208,15,False
9606.ENSP00000383053,12,False
9606.ENSP00000414378,17,False
9606.ENSP00000350896,11,False
9606.ENSP00000357392,22,False
9606.ENSP00000357393,17,False
9606.ENSP00000391669,27,False
9606.ENSP00000275815,10,False
9606.ENSP00000362139,4,False
9606.ENSP00000226091,9,False
9606.ENSP00000226067,1,False
9606.ENSP00000364000,10,False
9606.ENSP00000369071,17,False
9606.ENSP00000356899,6,False
9606.ENSP00000359114,7,False
9606.ENSP00000360882,10,False
9606.ENSP00000327801,14,False
9606.ENSP00000378856,20,False
9606.ENSP00000354677,21,False
9606.ENSP00000370542,36,False
9606.ENSP00000364589,22,False
9606.ENSP00000408617,28,False
9606.ENSP00000373700,31,False
9606.ENSP00000301019,32,False
9606.ENSP00000378118,28,False
9606.ENSP00000427279,37,True
9606.ENSP00000441600,37,True
9606.ENSP00000416996,23,False
9606.ENSP00000395704,37,True
9606.ENSP00000259206,21,False
9606.ENSP00000386380,35,False
9606.ENSP00000263339,37,True
9606.ENSP00000306512,37,True
9606.ENSP00000337383,26,False
9606.ENSP00000477908,37,True
9606.ENSP00000280357,37,True
9606.ENSP00000304915,37,True
9606.ENSP00000354901,37,True
9606.ENSP00000494686,3,False
9606.ENSP00000343925,30,False
9606.ENSP00000293831,15,False
9606.ENSP00000332604,12,False
9606.ENSP00000364119,12,False
9606.ENSP00000340691,17,False
9606.ENSP00000410715,12,False
9606.ENSP00000433112,10,False
9606.ENSP00000274063,16,False
9606.ENSP00000284523,17,False
9606.ENSP00000290167,16,False
9606.ENSP00000294304,16,False
9606.ENSP00000293549,17,False
9606.ENSP00000285018,16,False
9606.ENSP00000363081,16,False
9606.ENSP00000286574,16,False
9606.ENSP00000286201,16,False
9606.ENSP00000302625,17,False
9606.ENSP00000287934,16,False
9606.ENSP00000285311,16,False
9606.ENSP00000252723,31,False
9606.ENSP00000296870,37,True
9606.ENSP00000263734,24,False
